HeaderNo,Description,default,sqlcode
H0002,Version,4,
H0003,Date_generated,,
H0004,Reporting_period_end_date,,
H0005,State,WA,
H0100,Tenement_no/Combined_rept_no,,
H0101,Tenement_holder,,
H0102,Project_name,,
H0106,Tenement_operator,,
H0150,250K_map_sheet_number,,
H0151,100K_map_sheet_number,,
H0152,50K_map_sheet_number,,
H0153,25K_map_sheet_number,,
H0200,Start_date_of_data_acquisition,,
H0201,End_date_of_data_acquisition,,
H0202,Data_format,,
H0203,Number_of_data_records,,
H0204,Date_of_metadata_update,,
H0307,Lithology_code_file,,
H0312,Data_dictionary_file,,
H0308,File_verification_list,,
H0400,Drill_code,,SELECT DISTINCT Hole_Type FROM tblDHColl WHERE Lease_ID = ? AND Date_Completed >=  ? AND Date_Started <= ? ORDER BY Hole_Type
H0401,Drill_contractor,,SELECT DISTINCT m.Drill_Contractor FROM tblDHMetadata m INNER JOIN tblDHColl c ON m.DataSet = c.DataSet and m.Hole_ID = c.Hole_ID WHERE c.Lease_ID = ? AND c.Date_Completed >= ? AND c.Date_Started <= ? ORDER BY m.Drill_Contractor
H0402,Description,,
H0500,Feature_located,,
H0501,Geodetic_datum,,
H0502,Vertical_datum,,
H0503,Projection,,
H0508,Local_grid_name,,
H0530,Coordinate_system,,
H0531,Projection_zone,,
H0532,Collar_Survey_instrument,,
H0533,Collar_Survey_company,,
H0534,DHDirection_Survey_Instrument,,
H0535,DHDirection_Survey_Company,,
H0536,DHGeophys_Survey_Instrument,,
H0537,DHGeophys_Survey_Company,,
H0600,Sample_code,,
H0601,Sample_type,,
H0602,Sample_description,,
H0700,Sample_preparation_code,,
H0701,Sample_preparation_details,,
H0702,Job_no,,
H0800,Assay_code,,
H0801,Assay_company,,
H0802,Assay_description,,
H0803,XRF_Time_Elapsed,,
H0804,XRF_Beam_Time,,
H0805,XRF_Errors_Sigma,,
H0806,XRF_Instrument_Types,,
H0807,XRF_Instrument_Serial_No,,
H0900,Remarks,,
H1008,Calibration_m_factor ,,
H1009,Calibration_c_factor ,,
H1010,Correlation_R,,
